mun_code,mun_name,district_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02001,Abengibre,0200101,2022,51.6,9.2,33.8,2.5,30.5,739,94.2
02001,Abengibre,0200101,2021,52.1,9.6,34.3,2.4,29.2,706,94.3
02001,Abengibre,0200101,2020,52.2,8.7,33.9,2.4,29.1,715,94.4
02001,Abengibre,0200101,2019,51.6,7.6,32,2.4,31,724,93.7
02001,Abengibre,0200101,2018,50.9,7.5,30.4,2.4,30.7,756,93.4
02001,Abengibre,0200101,2017,51,7.7,30.8,2.3,32.8,723,93.7
02001,Abengibre,0200101,2016,50.9,7.7,31.4,2.4,30.7,713,94.8
02001,Abengibre,0200101,2015,50.6,7.8,31.3,2.4,31.6,741,95.3
02002,Alatoz,0200201,2022,53.3,8.6,35.8,2.1,38.2,503,88.7
02002,Alatoz,0200201,2021,52.9,9.3,36,2.1,36.6,497,89.1
02002,Alatoz,0200201,2020,52.6,10.2,36.9,2.1,37.5,502,89.9
02002,Alatoz,0200201,2019,51.6,11.6,35.6,2.2,36,509,90.1
02002,Alatoz,0200201,2018,52,10.3,36,2.2,39.5,517,90.8
02002,Alatoz,0200201,2017,51.5,11.1,35.4,2.2,37.5,531,90.4
02002,Alatoz,0200201,2016,51.5,12.1,36.5,2.3,36.2,554,90.6
02002,Alatoz,0200201,2015,51.3,11,35.7,2.3,36.6,580,89
02003,Albacete,0200301,2022,43.5,17,19.9,2.5,30.8,25409,95.4
02003,Albacete,0200301,2021,43.1,17.1,19.1,2.5,30.4,25482,95.5
02003,Albacete,0200301,2020,42.6,17.6,18.4,2.5,29.8,25632,95.5
02003,Albacete,0200301,2019,42.5,17.6,18.2,2.5,29.3,25594,95.5
02003,Albacete,0200301,2018,42.3,17.5,17.9,2.5,28.6,25165,95.8
02003,Albacete,0200301,2017,42,17.6,17.5,2.5,28.5,25057,96.1
02003,Albacete,0200301,2016,41.7,17.8,16.9,2.6,28.4,25133,96.1
02003,Albacete,0200301,2015,41.2,17.9,16.3,2.6,28.4,25139,95.8
02003,Albacete,0200302,2022,41.6,18.7,15.1,2.6,25.5,39370,95.5
02003,Albacete,0200302,2021,41.1,18.9,14.6,2.6,25,39335,96
02003,Albacete,0200302,2020,40.7,19.2,14.2,2.6,24.6,39289,96
02003,Albacete,0200302,2019,40.4,19.7,14,2.7,24.2,39552,96
02003,Albacete,0200302,2018,39.9,19.9,13.6,2.7,24.1,39387,96.5
02003,Albacete,0200302,2017,39.4,20.2,13.2,2.7,23.2,39489,96.4
02003,Albacete,0200302,2016,39,20.4,12.8,2.7,22.8,39353,96.5
02003,Albacete,0200302,2015,38.5,20.7,12.5,2.7,22.8,39079,96.4
02003,Albacete,0200303,2022,43.5,16.2,19.4,2.5,28.4,20088,92.8
02003,Albacete,0200303,2021,43.3,16.5,19.2,2.5,27.6,19932,93.3
02003,Albacete,0200303,2020,42.9,16.9,18.8,2.6,26.4,20094,93.8
02003,Albacete,0200303,2019,42.6,17.2,18.5,2.6,25.8,20448,93.8
02003,Albacete,0200303,2018,42.1,17.7,17.9,2.6,25.8,20434,94.4
02003,Albacete,0200303,2017,41.6,18,17.4,2.6,25,20437,94.8
02003,Albacete,0200303,2016,41.3,18.2,17,2.7,24.7,20465,94.9
02003,Albacete,0200303,2015,40.9,18.4,16.6,2.7,24.1,20514,94.7
02003,Albacete,0200304,2022,42,18.2,16.9,2.6,26.9,19579,91.9
02003,Albacete,0200304,2021,41.8,18.7,16.8,2.6,26.7,19440,92.4
02003,Albacete,0200304,2020,41.5,18.8,16.5,2.6,26.4,19580,92.8
02003,Albacete,0200304,2019,41.2,19.1,16.2,2.6,25.7,19701,92.5
02003,Albacete,0200304,2018,40.8,19.4,16,2.7,25.3,19709,92.9
02003,Albacete,0200304,2017,40.6,19.5,15.7,2.7,25.2,19586,93.5
02003,Albacete,0200304,2016,40.3,19.4,15.6,2.7,25.4,19482,94
02003,Albacete,0200304,2015,40.1,19.3,15.4,2.7,24.8,19390,93.8
02003,Albacete,0200305,2022,44.5,15.4,21.1,2.5,31.2,16398,89.3
02003,Albacete,0200305,2021,44.4,15.7,21.2,2.5,31.3,16297,90
02003,Albacete,0200305,2020,44.1,16.2,20.6,2.5,30.6,16561,90.2
02003,Albacete,0200305,2019,43.8,16.3,20.4,2.5,29.8,16887,90
02003,Albacete,0200305,2018,43.5,16.4,20.2,2.6,30,16827,90.9
02003,Albacete,0200305,2017,43.2,16.7,19.7,2.6,29.1,16955,91.1
02003,Albacete,0200305,2016,42.9,16.7,19.5,2.6,28.8,16939,91.5
02003,Albacete,0200305,2015,42.6,16.8,19.2,2.6,28.5,16898,91
02003,Albacete,0200306,2022,45.3,15.8,23.9,2.5,29.5,17785,95.3
02003,Albacete,0200306,2021,45.3,15.8,23.6,2.5,28.8,17692,95.6
02003,Albacete,0200306,2020,45.2,15.5,23,2.5,28.3,17638,95.9
02003,Albacete,0200306,2019,45.1,15.4,22.6,2.6,27.7,17671,96.2
02003,Albacete,0200306,2018,44.6,15.7,21.7,2.6,27.5,17776,96.4
02003,Albacete,0200306,2017,44.2,16,20.9,2.6,27.2,17843,96.5
02003,Albacete,0200306,2016,43.9,16,20.5,2.6,26.7,17893,96.4
02003,Albacete,0200306,2015,43.6,15.7,20,2.7,26.4,17894,96.4
02003,Albacete,0200307,2022,38.9,21.9,12.4,2.7,26.2,26403,94.5
02003,Albacete,0200307,2021,38.6,22.3,12,2.7,25.8,26266,94.9
02003,Albacete,0200307,2020,38.3,22.6,11.7,2.7,25.6,26278,94.9
02003,Albacete,0200307,2019,38,22.9,11.6,2.7,25.6,26387,94.9
02003,Albacete,0200307,2018,37.6,23.1,11.4,2.8,25.8,26300,95.3
