mun_code,mun_name,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02001,Abengibre,2022,51.6,9.2,33.8,2.5,30.5,739,94.2
02001,Abengibre,2021,52.1,9.6,34.3,2.4,29.2,706,94.3
02001,Abengibre,2020,52.2,8.7,33.9,2.4,29.1,715,94.4
02001,Abengibre,2019,51.6,7.6,32,2.4,31,724,93.7
02001,Abengibre,2018,50.9,7.5,30.4,2.4,30.7,756,93.4
02001,Abengibre,2017,51,7.7,30.8,2.3,32.8,723,93.7
02001,Abengibre,2016,50.9,7.7,31.4,2.4,30.7,713,94.8
02001,Abengibre,2015,50.6,7.8,31.3,2.4,31.6,741,95.3
02002,Alatoz,2022,53.3,8.6,35.8,2.1,38.2,503,88.7
02002,Alatoz,2021,52.9,9.3,36,2.1,36.6,497,89.1
02002,Alatoz,2020,52.6,10.2,36.9,2.1,37.5,502,89.9
02002,Alatoz,2019,51.6,11.6,35.6,2.2,36,509,90.1
02002,Alatoz,2018,52,10.3,36,2.2,39.5,517,90.8
02002,Alatoz,2017,51.5,11.1,35.4,2.2,37.5,531,90.4
02002,Alatoz,2016,51.5,12.1,36.5,2.3,36.2,554,90.6
02002,Alatoz,2015,51.3,11,35.7,2.3,36.6,580,89
02003,Albacete,2022,42.5,17.9,17.8,2.6,28.1,171274,94
02003,Albacete,2021,42.2,18.2,17.4,2.6,27.6,170552,94.3
02003,Albacete,2020,41.9,18.4,17,2.6,27.1,170924,94.5
02003,Albacete,2019,41.6,18.6,16.8,2.6,26.6,172083,94.4
02003,Albacete,2018,41.2,18.9,16.4,2.6,26.4,171429,95
02003,Albacete,2017,40.9,19,16,2.7,25.9,171147,95.2
02003,Albacete,2016,40.6,19.1,15.6,2.7,25.7,170832,95.3
02003,Albacete,2015,40.2,19.2,15.4,2.7,25.6,170433,95.1
02004,Albatana,2022,50.6,10.9,30.8,2.2,36.8,660,94.7
02004,Albatana,2021,50.8,10,30.9,2.2,35.9,670,95.1
02004,Albatana,2020,51.7,9.5,32.4,2.2,39.7,675,96.5
02004,Albatana,2019,51.2,9.8,32.6,2.2,39.3,665,97.5
02004,Albatana,2018,50.6,10.6,32.8,2.3,38.3,692,97.7
02004,Albatana,2017,50.2,11.6,32.3,2.3,37.9,697,96.7
02004,Albatana,2016,50.9,11,32.6,2.2,38.9,703,97.3
02004,Albatana,2015,50.3,11.3,32,2.3,38.2,719,96.9
02005,Alborea,2022,49.1,10.4,26,2.1,41,680,86.2
02005,Alborea,2021,48.9,11.8,26.7,2.1,40.8,668,88.5
02005,Alborea,2020,49.4,11.2,27.8,2.2,38.3,676,88.8
02005,Alborea,2019,49.5,10.3,28.4,2.2,36.7,670,89.3
02005,Alborea,2018,50,10.5,29,2.1,39.7,658,90.6
02005,Alborea,2017,49.9,10.5,29,2.1,42.8,666,92.6
02005,Alborea,2016,49,11.4,28.3,2.2,36.7,699,89.4
02005,Alborea,2015,48,12.8,28.6,2.2,37.7,717,87.9
02006,Alcadozo,2022,50.1,11.4,31.3,2.2,39.9,649,98.3
02006,Alcadozo,2021,49.5,12,31.1,2.2,41.8,634,98.1
02006,Alcadozo,2020,49.4,13.1,31.8,2.2,42.9,632,98.9
02006,Alcadozo,2019,49,13.3,31.7,2.3,39.5,647,98.8
02006,Alcadozo,2018,49.2,13.3,32.1,2.3,36.8,654,98.8
02006,Alcadozo,2017,49.3,14.1,33.5,2.3,36.4,659,99.2
02006,Alcadozo,2016,49.3,13.6,32.4,2.3,36.7,663,98.6
02006,Alcadozo,2015,48.1,14.5,31.2,2.4,33.6,689,98.3
02007,Alcalá del Júcar,2022,51,10.2,31.2,2,43.7,1131,93.2
02007,Alcalá del Júcar,2021,51,9.9,30.8,2,45.3,1135,94.9
02007,Alcalá del Júcar,2020,50.8,9.6,31.1,2,45.6,1143,94.7
02007,Alcalá del Júcar,2019,50.2,10.4,30.4,2,45.7,1186,93.2
02007,Alcalá del Júcar,2018,51.1,9.4,31.9,2.1,44.1,1177,94.6
02007,Alcalá del Júcar,2017,51,9.5,32.2,2.1,41.6,1208,94.1
02007,Alcalá del Júcar,2016,50.3,10.4,31.2,2.2,40.4,1215,92.9
02007,Alcalá del Júcar,2015,50.3,10.5,32,2.2,39.1,1220,93.3
02008,Alcaraz,2022,47.1,14.1,24.2,2.2,41.5,1293,96.8
02008,Alcaraz,2021,46.5,15.2,23.2,2.3,40.5,1296,97.2
02008,Alcaraz,2020,46.4,15,23.3,2.3,39,1299,97
02008,Alcaraz,2019,46.4,15.2,23.6,2.3,40.1,1307,97.2
02008,Alcaraz,2018,46.1,15,23.2,2.4,39.2,1331,97.1
02008,Alcaraz,2017,46,15.5,24.2,2.4,36.1,1380,97.2
02008,Alcaraz,2016,45.8,15.5,24.3,2.4,34.7,1391,96.7
02008,Alcaraz,2015,45.6,15.1,24.3,2.5,35.8,1437,97
02009,Almansa,2022,44.4,16.4,20.2,2.5,27.5,24105,94.1
02009,Almansa,2021,44.1,16.4,19.6,2.5,27.3,24105,95.1
02009,Almansa,2020,43.7,16.7,19.2,2.5,27.1,24278,95.1
02009,Almansa,2019,43.4,16.8,18.8,2.5,26.6,24336,95.1
02009,Almansa,2018,43.1,17,18.4,2.6,26.2,24248,95.5
02009,Almansa,2017,42.8,17.2,18,2.6,26.2,24361,95.7
02009,Almansa,2016,42.4,17.4,17.7,2.6,25.4,24350,96
02009,Almansa,2015,42,17.5,17.4,2.6,25.8,24590,95.8
02010,Alpera,2022,45.6,15.4,23.7,2.5,29.7,2288,90.4
02010,Alpera,2021,45.7,15.8,24,2.5,30.8,2253,91.9
02010,Alpera,2020,45.2,16.2,23.4,2.5,30,2270,91
02010,Alpera,2019,45.1,15.7,23.6,2.5,30.4,2267,92.4
02010,Alpera,2018,45.2,16.2,24.4,2.5,29.3,2263,93.4
02010,Alpera,2017,44.7,16.8,24.1,2.5,31.9,2279,93.5
02010,Alpera,2016,44.3,17.1,23.5,2.5,30.4,2298,93.1
02010,Alpera,2015,44.2,17.2,23.9,2.5,31.2,2306,93.8
02011,Ayna,2022,56.8,4.9,40.6,1.8,51,611,97.6
02011,Ayna,2021,57.2,4.8,42.5,1.8,51.8,586,98.1
02011,Ayna,2020,58.2,4.1,44.5,1.8,52.3,584,97.8
02011,Ayna,2019,56.5,4.2,40.9,1.8,48,595,98
02011,Ayna,2018,56.5,4.7,40.9,1.9,47.6,618,97.7
02011,Ayna,2017,56.3,4.9,41.3,1.9,47.3,638,97.7
02011,Ayna,2016,56.2,5.2,41.2,1.9,46,670,97.6
02011,Ayna,2015,56.1,5.5,41.2,2,44.9,690,97.8
02012,Balazote,2022,42.6,16.2,17.8,2.5,29.8,2385,90.9
02012,Balazote,2021,42.2,16.4,17.6,2.5,28.7,2373,90.8
02012,Balazote,2020,42.4,16.2,18.3,2.5,29.2,2336,91.8
02012,Balazote,2019,42.4,16.5,18.6,2.5,28.2,2316,93.1
