mun_code,mun_name,district_code,section_code,year,mean_age,pct_under18,pct_over65,mean_hh_size,pct_single_hh,population,pct_spanish
02001,Abengibre,0200101,0200101001,2022,51.6,9.2,33.8,2.5,30.5,739,94.2
02001,Abengibre,0200101,0200101001,2021,52.1,9.6,34.3,2.4,29.2,706,94.3
02001,Abengibre,0200101,0200101001,2020,52.2,8.7,33.9,2.4,29.1,715,94.4
02001,Abengibre,0200101,0200101001,2019,51.6,7.6,32,2.4,31,724,93.7
02001,Abengibre,0200101,0200101001,2018,50.9,7.5,30.4,2.4,30.7,756,93.4
02001,Abengibre,0200101,0200101001,2017,51,7.7,30.8,2.3,32.8,723,93.7
02001,Abengibre,0200101,0200101001,2016,50.9,7.7,31.4,2.4,30.7,713,94.8
02001,Abengibre,0200101,0200101001,2015,50.6,7.8,31.3,2.4,31.6,741,95.3
02002,Alatoz,0200201,0200201001,2022,53.3,8.6,35.8,2.1,38.2,503,88.7
02002,Alatoz,0200201,0200201001,2021,52.9,9.3,36,2.1,36.6,497,89.1
02002,Alatoz,0200201,0200201001,2020,52.6,10.2,36.9,2.1,37.5,502,89.9
02002,Alatoz,0200201,0200201001,2019,51.6,11.6,35.6,2.2,36,509,90.1
02002,Alatoz,0200201,0200201001,2018,52,10.3,36,2.2,39.5,517,90.8
02002,Alatoz,0200201,0200201001,2017,51.5,11.1,35.4,2.2,37.5,531,90.4
02002,Alatoz,0200201,0200201001,2016,51.5,12.1,36.5,2.3,36.2,554,90.6
02002,Alatoz,0200201,0200201001,2015,51.3,11,35.7,2.3,36.6,580,89
02003,Albacete,0200301,0200301001,2022,45.3,17,23.4,2.3,36.7,829,93.7
02003,Albacete,0200301,0200301001,2021,45.2,16.9,23.4,2.4,34.7,829,92
02003,Albacete,0200301,0200301001,2020,44.1,17.7,22.4,2.4,35.9,849,91.7
02003,Albacete,0200301,0200301001,2019,44.1,16.6,21.3,2.4,35.5,836,92.4
02003,Albacete,0200301,0200301001,2018,43.9,15.9,20.6,2.5,33.2,850,92.1
02003,Albacete,0200301,0200301001,2017,44.3,15.3,21.2,2.5,33.6,841,92.2
02003,Albacete,0200301,0200301001,2016,44.6,14.7,21.6,2.5,33.5,844,92.2
02003,Albacete,0200301,0200301001,2015,44.1,14.7,21,2.5,32.4,858,91.8
02003,Albacete,0200301,0200301002,2022,47.4,11.3,22.6,2.4,30.7,1202,96.8
02003,Albacete,0200301,0200301002,2021,46.3,11.5,20.1,2.4,30,1219,98
02003,Albacete,0200301,0200301002,2020,45,12.7,18.3,2.5,29,1265,96.8
02003,Albacete,0200301,0200301002,2019,44.9,12.7,18.3,2.5,27.5,1291,96.2
02003,Albacete,0200301,0200301002,2018,44.6,13,18.2,2.5,27.3,1272,97.5
02003,Albacete,0200301,0200301002,2017,44.1,13.6,17.2,2.5,24.7,1276,97.3
02003,Albacete,0200301,0200301002,2016,43.1,14.9,15.8,2.6,24.4,1311,97.2
02003,Albacete,0200301,0200301002,2015,42.5,15.9,15.1,2.6,24.9,1325,96.5
02003,Albacete,0200301,0200301003,2022,46.3,12.8,22.6,2.4,32.8,2048,95.8
02003,Albacete,0200301,0200301003,2021,46.2,12.9,22.1,2.4,31.8,2042,96.5
02003,Albacete,0200301,0200301003,2020,45.5,13.9,20.7,2.5,31.6,2067,96.1
02003,Albacete,0200301,0200301003,2019,44.8,15,20.1,2.5,32.1,2135,95.6
02003,Albacete,0200301,0200301003,2018,44.1,16.1,19.4,2.5,32.1,2145,95.8
02003,Albacete,0200301,0200301003,2017,43.7,16.7,19.1,2.5,31.6,2164,96.7
02003,Albacete,0200301,0200301003,2016,43.1,17.4,18.5,2.5,30.7,2173,97.1
02003,Albacete,0200301,0200301003,2015,42.6,17.9,18.2,2.6,28.5,2188,97.1
