mun_code,mun_name,district_code,year,gini,p80p20
02001,Abengibre,0200101,2022,30.3,2.6
02001,Abengibre,0200101,2021,28.8,2.5
02001,Abengibre,0200101,2020,30,2.6
02001,Abengibre,0200101,2019,28,2.3
02001,Abengibre,0200101,2018,29.6,2.5
02001,Abengibre,0200101,2017,30.1,2.6
02001,Abengibre,0200101,2016,31.3,2.5
02001,Abengibre,0200101,2015,32.3,2.5
02002,Alatoz,0200201,2022,27.7,2.1
02002,Alatoz,0200201,2021,29.1,2.3
02002,Alatoz,0200201,2020,29.2,2.2
02002,Alatoz,0200201,2019,30,2.2
02002,Alatoz,0200201,2018,29.3,2.2
02002,Alatoz,0200201,2017,29.7,2.2
02002,Alatoz,0200201,2016,30.2,2.4
02002,Alatoz,0200201,2015,29.2,2
02003,Albacete,0200301,2022,30.3,2.6
02003,Albacete,0200301,2021,30.3,2.6
02003,Albacete,0200301,2020,31.1,2.7
02003,Albacete,0200301,2019,31.2,2.7
02003,Albacete,0200301,2018,32,2.8
02003,Albacete,0200301,2017,32.3,2.9
02003,Albacete,0200301,2016,33.1,3
02003,Albacete,0200301,2015,33.5,3
02003,Albacete,0200302,2022,27.6,2.3
02003,Albacete,0200302,2021,27.8,2.4
02003,Albacete,0200302,2020,28.3,2.4
02003,Albacete,0200302,2019,28.2,2.4
02003,Albacete,0200302,2018,28.8,2.4
02003,Albacete,0200302,2017,29.4,2.5
02003,Albacete,0200302,2016,30.4,2.7
02003,Albacete,0200302,2015,31,2.6
02003,Albacete,0200303,2022,29.7,2.5
02003,Albacete,0200303,2021,30.2,2.6
02003,Albacete,0200303,2020,30.7,2.6
02003,Albacete,0200303,2019,30.7,2.6
02003,Albacete,0200303,2018,31.4,2.7
02003,Albacete,0200303,2017,31.7,2.7
02003,Albacete,0200303,2016,32.7,2.8
02003,Albacete,0200303,2015,33.4,2.7
02003,Albacete,0200304,2022,29.7,2.5
02003,Albacete,0200304,2021,29.9,2.6
02003,Albacete,0200304,2020,30.5,2.7
02003,Albacete,0200304,2019,30.3,2.7
02003,Albacete,0200304,2018,31.2,2.8
02003,Albacete,0200304,2017,31.5,2.7
02003,Albacete,0200304,2016,32.3,2.9
02003,Albacete,0200304,2015,32.7,2.9
02003,Albacete,0200305,2022,31.4,2.8
02003,Albacete,0200305,2021,31.8,2.7
02003,Albacete,0200305,2020,32.4,2.8
02003,Albacete,0200305,2019,32.7,2.7
02003,Albacete,0200305,2018,33.1,2.8
02003,Albacete,0200305,2017,33.6,3
02003,Albacete,0200305,2016,34.7,3
02003,Albacete,0200305,2015,35.1,3.2
02003,Albacete,0200306,2022,30.6,2.7
02003,Albacete,0200306,2021,30.4,2.7
02003,Albacete,0200306,2020,31.1,2.7
02003,Albacete,0200306,2019,31.3,2.7
02003,Albacete,0200306,2018,31.9,2.8
02003,Albacete,0200306,2017,32.4,2.9
02003,Albacete,0200306,2016,32.7,2.9
02003,Albacete,0200306,2015,32.6,2.9
02003,Albacete,0200307,2022,34.5,3.4
02003,Albacete,0200307,2021,34.8,3.2
02003,Albacete,0200307,2020,35.2,3.4
02003,Albacete,0200307,2019,35.3,3.3
02003,Albacete,0200307,2018,35.9,3.5
02003,Albacete,0200307,2017,36.3,3.6
02003,Albacete,0200307,2016,37,3.6
02003,Albacete,0200307,2015,37.7,3.8
02003,Albacete,0200308,2022,29,2.3
02003,Albacete,0200308,2021,28.8,2.4
02003,Albacete,0200308,2020,29.6,2.5
02003,Albacete,0200308,2019,29.7,2.4
02003,Albacete,0200308,2018,30.8,2.5
02003,Albacete,0200308,2017,30.4,2.4
02003,Albacete,0200308,2016,31.1,2.6
02003,Albacete,0200308,2015,31.1,2.5
02004,Albatana,0200401,2022,29.1,2.4
02004,Albatana,0200401,2021,30,2.4
02004,Albatana,0200401,2020,30.4,2.3
02004,Albatana,0200401,2019,29.6,2.4
02004,Albatana,0200401,2018,27.9,2.3
02004,Albatana,0200401,2017,30.2,2.5
02004,Albatana,0200401,2016,29.3,2.5
02004,Albatana,0200401,2015,31.1,2.5
02005,Alborea,0200501,2022,29.7,2.4
02005,Alborea,0200501,2021,29.7,2.3
02005,Alborea,0200501,2020,29.6,2.1
02005,Alborea,0200501,2019,29.7,2.3
02005,Alborea,0200501,2018,29.9,2.5
02005,Alborea,0200501,2017,33,2.6
02005,Alborea,0200501,2016,31.6,2.9
02005,Alborea,0200501,2015,32.3,2.7
02006,Alcadozo,0200601,2022,27.1,2.1
02006,Alcadozo,0200601,2021,26.7,2.4
02006,Alcadozo,0200601,2020,27.2,2.2
02006,Alcadozo,0200601,2019,27.2,2.2
02006,Alcadozo,0200601,2018,26.5,2.1
02006,Alcadozo,0200601,2017,28.3,2.2
02006,Alcadozo,0200601,2016,29,2.4
02006,Alcadozo,0200601,2015,29.1,2.5
02007,Alcalá del Júcar,0200701,2022,28.5,2.2
02007,Alcalá del Júcar,0200701,2021,28.7,2.4
02007,Alcalá del Júcar,0200701,2020,30.1,2.4
02007,Alcalá del Júcar,0200701,2019,29.4,2.3
02007,Alcalá del Júcar,0200701,2018,28.6,2.4
02007,Alcalá del Júcar,0200701,2017,30.2,2.2
02007,Alcalá del Júcar,0200701,2016,31.3,2.4
02007,Alcalá del Júcar,0200701,2015,30.7,2.3
02008,Alcaraz,0200801,2022,30,2.3
02008,Alcaraz,0200801,2021,30.1,2.3
02008,Alcaraz,0200801,2020,30.4,2.5
