mun_code,mun_name,year,gini,p80p20
02001,Abengibre,2022,30.3,2.6
02001,Abengibre,2021,28.8,2.5
02001,Abengibre,2020,30,2.6
02001,Abengibre,2019,28,2.3
02001,Abengibre,2018,29.6,2.5
02001,Abengibre,2017,30.1,2.6
02001,Abengibre,2016,31.3,2.5
02001,Abengibre,2015,32.3,2.5
02002,Alatoz,2022,27.7,2.1
02002,Alatoz,2021,29.1,2.3
02002,Alatoz,2020,29.2,2.2
02002,Alatoz,2019,30,2.2
02002,Alatoz,2018,29.3,2.2
02002,Alatoz,2017,29.7,2.2
02002,Alatoz,2016,30.2,2.4
02002,Alatoz,2015,29.2,2
02003,Albacete,2022,31.1,2.7
02003,Albacete,2021,31.3,2.7
02003,Albacete,2020,31.9,2.8
02003,Albacete,2019,31.8,2.8
02003,Albacete,2018,32.5,2.8
02003,Albacete,2017,33.1,2.8
02003,Albacete,2016,33.8,2.9
02003,Albacete,2015,34.3,3.2
02004,Albatana,2022,29.1,2.4
02004,Albatana,2021,30,2.4
02004,Albatana,2020,30.4,2.3
02004,Albatana,2019,29.6,2.4
02004,Albatana,2018,27.9,2.3
02004,Albatana,2017,30.2,2.5
02004,Albatana,2016,29.3,2.5
02004,Albatana,2015,31.1,2.5
02005,Alborea,2022,29.7,2.4
02005,Alborea,2021,29.7,2.3
02005,Alborea,2020,29.6,2.1
02005,Alborea,2019,29.7,2.3
02005,Alborea,2018,29.9,2.5
02005,Alborea,2017,33,2.6
02005,Alborea,2016,31.6,2.9
02005,Alborea,2015,32.3,2.7
02006,Alcadozo,2022,27.1,2.1
02006,Alcadozo,2021,26.7,2.4
02006,Alcadozo,2020,27.2,2.2
02006,Alcadozo,2019,27.2,2.2
02006,Alcadozo,2018,26.5,2.1
02006,Alcadozo,2017,28.3,2.2
02006,Alcadozo,2016,29,2.4
02006,Alcadozo,2015,29.1,2.5
02007,Alcalá del Júcar,2022,28.5,2.2
02007,Alcalá del Júcar,2021,28.7,2.4
02007,Alcalá del Júcar,2020,30.1,2.4
02007,Alcalá del Júcar,2019,29.4,2.3
02007,Alcalá del Júcar,2018,28.6,2.4
02007,Alcalá del Júcar,2017,30.2,2.2
02007,Alcalá del Júcar,2016,31.3,2.4
02007,Alcalá del Júcar,2015,30.7,2.3
02008,Alcaraz,2022,30,2.3
02008,Alcaraz,2021,30.1,2.3
02008,Alcaraz,2020,30.4,2.5
02008,Alcaraz,2019,29.7,2.4
02008,Alcaraz,2018,30.4,2.5
02008,Alcaraz,2017,30.8,2.4
02008,Alcaraz,2016,32,2.6
02008,Alcaraz,2015,30.9,2.5
02009,Almansa,2022,27.6,2.3
02009,Almansa,2021,28.4,2.3
02009,Almansa,2020,28.7,2.3
02009,Almansa,2019,28.4,2.3
02009,Almansa,2018,29.2,2.3
02009,Almansa,2017,29.9,2.4
02009,Almansa,2016,30.6,2.3
02009,Almansa,2015,31.1,2.4
02010,Alpera,2022,26.6,2.2
02010,Alpera,2021,26.9,2.2
02010,Alpera,2020,27.5,2.2
02010,Alpera,2019,27,2.2
02010,Alpera,2018,27.7,2.3
02010,Alpera,2017,27.7,2.4
02010,Alpera,2016,29.9,2.3
02010,Alpera,2015,29.4,2.5
02011,Ayna,2022,28.8,2.4
02011,Ayna,2021,30.6,2.5
02011,Ayna,2020,31.6,2.3
02011,Ayna,2019,30.4,2.5
02011,Ayna,2018,30.1,2.4
02011,Ayna,2017,31.4,2.3
02011,Ayna,2016,31.8,2.4
02011,Ayna,2015,32.1,2.6
02012,Balazote,2022,27,2.3
02012,Balazote,2021,28.5,2.4
02012,Balazote,2020,28.3,2.4
02012,Balazote,2019,26.5,2.3
02012,Balazote,2018,26.7,2.2
02012,Balazote,2017,28.7,2.4
02012,Balazote,2016,29.8,2.5
02012,Balazote,2015,28.4,2.2
02013,Balsa de Ves,2022,30.5,2.7
02013,Balsa de Ves,2021,31.7,2.7
02013,Balsa de Ves,2020,30.1,2.7
02013,Balsa de Ves,2019,30.7,3.1
02013,Balsa de Ves,2018,40.3,3.5
02013,Balsa de Ves,2017,31.6,3
02013,Balsa de Ves,2016,28.1,2.7
02013,Balsa de Ves,2015,31.5,2.7
02014,"Ballestero, El",2022,26.3,2.3
02014,"Ballestero, El",2021,26.4,2.3
02014,"Ballestero, El",2020,27.4,2.5
02014,"Ballestero, El",2019,25.8,2.1
02014,"Ballestero, El",2018,26.5,2.2
02014,"Ballestero, El",2017,27.2,2.3
02014,"Ballestero, El",2016,28.4,2.4
02014,"Ballestero, El",2015,30.4,2.1
02015,Barrax,2022,28.3,2.4
02015,Barrax,2021,28.5,2.3
02015,Barrax,2020,28.3,2.5
02015,Barrax,2019,27.2,2.1
02015,Barrax,2018,27,2.2
02015,Barrax,2017,27.2,2.2
02015,Barrax,2016,28.7,2.1
02015,Barrax,2015,28.1,2.3
02016,Bienservida,2022,27.9,2.1
02016,Bienservida,2021,27.3,2.1
02016,Bienservida,2020,29.1,2.3
02016,Bienservida,2019,29,2.1
02016,Bienservida,2018,31,2.1
02016,Bienservida,2017,31,2.2
02016,Bienservida,2016,32.2,2.5
02016,Bienservida,2015,33.3,2.5
02017,Bogarra,2022,27.6,2.1
02017,Bogarra,2021,26.9,2.1
02017,Bogarra,2020,27.1,2
02017,Bogarra,2019,28.2,2.2
02017,Bogarra,2018,28,2.3
02017,Bogarra,2017,26.5,2
02017,Bogarra,2016,28,2.4
02017,Bogarra,2015,28.5,2.3
02018,Bonete,2022,29.3,2.6
02018,Bonete,2021,28.2,2.4
02018,Bonete,2020,30.2,2.6
02018,Bonete,2019,29.4,2.5
02018,Bonete,2018,30,2.8
02018,Bonete,2017,31.4,2.5
02018,Bonete,2016,31.3,2.7
02018,Bonete,2015,31.2,2.6
02019,"Bonillo, El",2022,25.2,2.2
02019,"Bonillo, El",2021,25.1,2.2
02019,"Bonillo, El",2020,25.3,2
02019,"Bonillo, El",2019,24.5,2.1
02019,"Bonillo, El",2018,25,2
02019,"Bonillo, El",2017,25.7,2
02019,"Bonillo, El",2016,25.7,2.1
02019,"Bonillo, El",2015,26.1,2.1
02020,Carcelén,2022,27.7,2.3
02020,Carcelén,2021,27,2.1
02020,Carcelén,2020,28.5,2.2
02020,Carcelén,2019,29,2.1
02020,Carcelén,2018,29.3,2.2
02020,Carcelén,2017,30.3,2.4
02020,Carcelén,2016,28.1,2.2
02020,Carcelén,2015,26.5,2.2
02021,Casas de Juan Núñez,2022,27.3,2.4
02021,Casas de Juan Núñez,2021,29.3,2.6
02021,Casas de Juan Núñez,2020,28.6,2.4
02021,Casas de Juan Núñez,2019,27.6,2.4
02021,Casas de Juan Núñez,2018,28,2.1
02021,Casas de Juan Núñez,2017,29.7,2.2
02021,Casas de Juan Núñez,2016,30.8,2.4
02021,Casas de Juan Núñez,2015,30.2,2.3
02022,Casas de Lázaro,2022,26.8,2.5
02022,Casas de Lázaro,2021,28,2.4
02022,Casas de Lázaro,2020,27.6,2.3
02022,Casas de Lázaro,2019,27.1,2.3
02022,Casas de Lázaro,2018,30.1,2.7
02022,Casas de Lázaro,2017,29.6,2.5
02022,Casas de Lázaro,2016,28.5,2.7
02022,Casas de Lázaro,2015,29.4,2.6
02023,Casas de Ves,2022,30,2.5
02023,Casas de Ves,2021,29.7,2.5
02023,Casas de Ves,2020,30.4,2.5
02023,Casas de Ves,2019,28.7,2.7
02023,Casas de Ves,2018,29.8,2.5
02023,Casas de Ves,2017,31.4,2.3
02023,Casas de Ves,2016,34.5,2.8
02023,Casas de Ves,2015,34.1,2.8
02024,Casas-Ibáñez,2022,28.8,2.3
02024,Casas-Ibáñez,2021,28.6,2.4
02024,Casas-Ibáñez,2020,29.7,2.5
02024,Casas-Ibáñez,2019,28.2,2.3
02024,Casas-Ibáñez,2018,29.9,2.4
02024,Casas-Ibáñez,2017,30.5,2.4
02024,Casas-Ibáñez,2016,30.7,2.3
02024,Casas-Ibáñez,2015,31.6,2.6
02025,Caudete,2022,26.9,2.3
02025,Caudete,2021,27.5,2.4
02025,Caudete,2020,28.2,2.5
02025,Caudete,2019,28.3,2.4
02025,Caudete,2018,28.6,2.3
02025,Caudete,2017,29.3,2.4
02025,Caudete,2016,29.9,2.6
02025,Caudete,2015,31.6,2.8
02026,Cenizate,2022,27.7,2.2
02026,Cenizate,2021,26.6,2.3
02026,Cenizate,2020,27.5,2.1
02026,Cenizate,2019,25.4,2
02026,Cenizate,2018,27,2.1
02026,Cenizate,2017,28.2,2.3
02026,Cenizate,2016,29.3,2.3
02026,Cenizate,2015,29.4,2.6
02027,Corral-Rubio,2022,32.7,2.8
02027,Corral-Rubio,2021,31.5,2.8
02027,Corral-Rubio,2020,32.6,2.8
02027,Corral-Rubio,2019,30.4,2.9
02027,Corral-Rubio,2018,33.1,2.8
02027,Corral-Rubio,2017,32.9,2.7
02027,Corral-Rubio,2016,32,2.8
02027,Corral-Rubio,2015,31.8,2.9
02028,Cotillas,2022,30.1,2.2
02028,Cotillas,2021,32.8,3.1
02028,Cotillas,2020,28.4,2
02028,Cotillas,2019,29.5,2.6
02028,Cotillas,2018,28,2.8
02028,Cotillas,2017,23.4,2
02028,Cotillas,2016,25.7,2
02028,Cotillas,2015,24.1,2.1
02029,Chinchilla de Monte-Aragón,2022,26.4,2.2
02029,Chinchilla de Monte-Aragón,2021,26.5,2.2
02029,Chinchilla de Monte-Aragón,2020,27.4,2.3
02029,Chinchilla de Monte-Aragón,2019,27.9,2.3
02029,Chinchilla de Monte-Aragón,2018,28.2,2.4
02029,Chinchilla de Monte-Aragón,2017,29.4,2.5
02029,Chinchilla de Monte-Aragón,2016,30.4,2.6
02029,Chinchilla de Monte-Aragón,2015,30.1,2.5
02030,Elche de la Sierra,2022,28.4,2.5
02030,Elche de la Sierra,2021,28.7,2.6
02030,Elche de la Sierra,2020,28.6,2.5
02030,Elche de la Sierra,2019,28.9,2.4
02030,Elche de la Sierra,2018,29.1,2.4
02030,Elche de la Sierra,2017,29.6,2.3
02030,Elche de la Sierra,2016,30.8,2.6
02030,Elche de la Sierra,2015,31,2.8
02031,Férez,2022,33.3,2.4
02031,Férez,2021,31.8,2.7
02031,Férez,2020,29.9,2.2
02031,Férez,2019,31.9,2.3
02031,Férez,2018,33.3,3
02031,Férez,2017,31.5,2.6
02031,Férez,2016,33.7,2.9
02031,Férez,2015,33.4,3
02032,Fuensanta,2022,30.6,2.3
02032,Fuensanta,2021,29.6,2.4
02032,Fuensanta,2020,28.9,2.6
02032,Fuensanta,2019,29.1,2.5
02032,Fuensanta,2018,30.9,2.6
02032,Fuensanta,2017,31.6,2.6
02032,Fuensanta,2016,33.1,2.9
02032,Fuensanta,2015,31.3,2.9
02033,Fuente-Álamo,2022,29.2,2.4
02033,Fuente-Álamo,2021,28.6,2.2
02033,Fuente-Álamo,2020,29.8,2.2
02033,Fuente-Álamo,2019,30.4,2.4
02033,Fuente-Álamo,2018,31.3,2.4
02033,Fuente-Álamo,2017,30.7,2.4
02033,Fuente-Álamo,2016,32.1,2.5
02033,Fuente-Álamo,2015,31.8,2.4
02034,Fuentealbilla,2022,28.9,2.2
02034,Fuentealbilla,2021,28.1,2.1
02034,Fuentealbilla,2020,28.7,2.2
02034,Fuentealbilla,2019,28.7,2.2
02034,Fuentealbilla,2018,27.2,2
02034,Fuentealbilla,2017,30.7,2.2
02034,Fuentealbilla,2016,30,2.4
02034,Fuentealbilla,2015,31.5,2.5
02035,"Gineta, La",2022,27.7,2.2
02035,"Gineta, La",2021,27.4,2.3
02035,"Gineta, La",2020,27.5,2.3
02035,"Gineta, La",2019,27.7,2.4
02035,"Gineta, La",2018,29,2.5
02035,"Gineta, La",2017,28.4,2.4
02035,"Gineta, La",2016,29.2,2.5
02035,"Gineta, La",2015,31,2.5
02036,Golosalvo,2022,NA,NA
02036,Golosalvo,2021,NA,NA
02036,Golosalvo,2020,NA,NA
02036,Golosalvo,2019,NA,NA
02036,Golosalvo,2018,29.5,2.8
02036,Golosalvo,2017,24.4,2
02036,Golosalvo,2016,27.6,2.5
02036,Golosalvo,2015,32,2.5
02037,Hellín,2022,29.4,2.4
02037,Hellín,2021,29.9,2.5
02037,Hellín,2020,30.5,2.4
02037,Hellín,2019,30.7,2.5
02037,Hellín,2018,31.4,2.4
02037,Hellín,2017,31.9,2.6
02037,Hellín,2016,33.5,2.8
02037,Hellín,2015,34.5,2.8
02038,"Herrera, La",2022,34.1,3.1
02038,"Herrera, La",2021,34.5,2.7
02038,"Herrera, La",2020,33.9,2.8
02038,"Herrera, La",2019,30.5,2.5
02038,"Herrera, La",2018,30.4,2.5
02038,"Herrera, La",2017,32.6,2.8
02038,"Herrera, La",2016,34.8,3.6
02038,"Herrera, La",2015,32.4,2.5
02039,Higueruela,2022,29.8,2.7
02039,Higueruela,2021,29.9,2.6
02039,Higueruela,2020,30.2,2.7
02039,Higueruela,2019,28.9,2.4
02039,Higueruela,2018,28.4,2.5
02039,Higueruela,2017,30.2,2.7
02039,Higueruela,2016,28.7,2.6
02039,Higueruela,2015,29.2,2.5
02040,Hoya-Gonzalo,2022,27.8,2.6
02040,Hoya-Gonzalo,2021,28.4,2.4
02040,Hoya-Gonzalo,2020,27.8,2.3
02040,Hoya-Gonzalo,2019,28.9,2.3
02040,Hoya-Gonzalo,2018,26.9,2.3
02040,Hoya-Gonzalo,2017,28.2,2.5
02040,Hoya-Gonzalo,2016,27.9,2.6
02040,Hoya-Gonzalo,2015,30.9,2.4
02041,Jorquera,2022,29.3,2.5
02041,Jorquera,2021,30,2.3
02041,Jorquera,2020,29.6,2.1
02041,Jorquera,2019,30.3,2.1
02041,Jorquera,2018,31,2.4
02041,Jorquera,2017,32.7,2.5
02041,Jorquera,2016,33.6,2.5
02041,Jorquera,2015,35.2,2.8
02042,Letur,2022,31.4,2.7
02042,Letur,2021,30.8,2.6
02042,Letur,2020,32.8,2.3
02042,Letur,2019,30.6,2.2
02042,Letur,2018,31.2,2.2
02042,Letur,2017,32.3,2.6
02042,Letur,2016,32.6,2.5
02042,Letur,2015,30.9,2.6
