mun_code,mun_name,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02001,Abengibre,2022,13063,32657,19598,17150,15122,37804
02001,Abengibre,2021,12188,29768,18067,16450,14017,34237
02001,Abengibre,2020,11675,28234,17387,15050,13391,32384
02001,Abengibre,2019,11132,27079,16401,15750,12710,30916
02001,Abengibre,2018,10854,26622,16055,15050,12424,30472
02001,Abengibre,2017,9704,23007,14176,12950,11096,26307
02001,Abengibre,2016,9690,23206,14009,12950,11010,26366
02001,Abengibre,2015,9290,22345,13417,12250,10538,25346
02002,Alatoz,2022,11346,24306,15925,15050,12607,27007
02002,Alatoz,2021,10771,22988,15146,13650,11980,25568
02002,Alatoz,2020,9866,21179,14101,11550,10982,23574
02002,Alatoz,2019,9596,21527,13744,11550,10656,23905
02002,Alatoz,2018,9255,20150,13389,11550,10265,22350
02002,Alatoz,2017,8540,18889,12341,10150,9431,20861
02002,Alatoz,2016,8008,18223,11568,10150,8781,19982
02002,Alatoz,2015,7880,17940,11452,10150,8619,19623
02003,Albacete,2022,13836,35722,20762,18550,16865,43540
02003,Albacete,2021,13146,34160,19818,17150,15979,41520
02003,Albacete,2020,12529,32861,18878,16450,15098,39600
02003,Albacete,2019,12282,32522,18600,16450,14786,39154
02003,Albacete,2018,11713,31209,17772,15750,14041,37413
02003,Albacete,2017,11223,30173,17079,15050,13421,36082
02003,Albacete,2016,10795,29160,16447,14350,12910,34874
02003,Albacete,2015,10515,28507,16032,13650,12501,33889
02004,Albatana,2022,10767,23630,15507,13650,12118,26594
02004,Albatana,2021,10026,22482,14587,12950,11203,25123
02004,Albatana,2020,9582,20944,13556,12250,10729,23451
02004,Albatana,2019,8943,19915,12701,11550,9931,22117
02004,Albatana,2018,8721,19665,12371,11550,9700,21874
02004,Albatana,2017,7940,18148,11140,10150,8786,20082
02004,Albatana,2016,8082,18217,11351,10150,8890,20039
02004,Albatana,2015,7587,17361,10708,9450,8322,19045
02005,Alborea,2022,10489,22177,14493,12950,11852,25059
02005,Alborea,2021,9881,21034,13760,11550,10994,23404
02005,Alborea,2020,9614,20968,13040,10850,10809,23573
02005,Alborea,2019,9591,21183,13432,11550,10729,23696
02005,Alborea,2018,8945,19469,12411,11550,9879,21501
02005,Alborea,2017,8491,17721,11649,9450,9375,19567
02005,Alborea,2016,7573,17050,10756,9450,8316,18725
02005,Alborea,2015,7235,16136,10428,9450,7941,17710
02006,Alcadozo,2022,10709,23819,15114,13650,12052,26806
02006,Alcadozo,2021,10086,22410,14235,13650,11251,24997
02006,Alcadozo,2020,9203,20305,13111,12250,10277,22673
02006,Alcadozo,2019,9297,21449,13467,12250,10321,23811
02006,Alcadozo,2018,8944,20711,12932,11550,9893,22909
02006,Alcadozo,2017,8123,18886,11827,10850,8911,20719
02006,Alcadozo,2016,8100,18833,11751,10150,8949,20809
02006,Alcadozo,2015,7446,17604,11035,10150,8144,19255
02007,Alcalá del Júcar,2022,11219,22360,15548,13650,12630,25172
02007,Alcalá del Júcar,2021,10480,20648,14381,12950,11854,23356
02007,Alcalá del Júcar,2020,10047,19990,13803,12250,11249,22380
02007,Alcalá del Júcar,2019,9712,20032,13443,12250,10935,22553
02007,Alcalá del Júcar,2018,9256,19323,13065,10850,10311,21525
02007,Alcalá del Júcar,2017,8506,18009,12011,10150,9469,20048
02007,Alcalá del Júcar,2016,8352,18191,11866,9450,9280,20213
02007,Alcalá del Júcar,2015,8110,17675,11454,9450,8950,19505
02008,Alcaraz,2022,11954,27166,17143,14350,13726,31192
02008,Alcaraz,2021,10630,24758,15448,12950,12229,28484
02008,Alcaraz,2020,9963,23514,14519,12950,11412,26933
02008,Alcaraz,2019,9717,23124,14181,12250,11120,26463
02008,Alcaraz,2018,9358,22479,13809,11550,10660,25608
02008,Alcaraz,2017,8495,21132,12919,11550,9964,24785
02008,Alcaraz,2016,8320,20978,12281,10850,9351,23577
02008,Alcaraz,2015,8097,20648,12099,10850,9189,23432
02009,Almansa,2022,12013,30012,17918,15750,14139,35324
02009,Almansa,2021,11263,28408,16865,15050,13203,33303
02009,Almansa,2020,10752,27375,16151,14350,12502,31830
02009,Almansa,2019,10794,27661,16303,14350,12681,32496
02009,Almansa,2018,10268,26559,15545,13650,11962,30939
02009,Almansa,2017,9776,25469,14809,12950,11412,29731
02009,Almansa,2016,9492,24855,14382,12250,11032,28889
02009,Almansa,2015,9029,23797,13667,12250,10472,27600
02010,Alpera,2022,10181,25572,15158,14350,11418,28679
02010,Alpera,2021,9645,24128,14253,12950,10845,27131
02010,Alpera,2020,8915,22790,13203,12250,9922,25363
02010,Alpera,2019,8818,22103,13115,12250,9841,24669
02010,Alpera,2018,8673,21664,12817,11550,9675,24167
02010,Alpera,2017,7941,19748,11733,10850,8812,21915
02010,Alpera,2016,7639,19380,11263,10150,8471,21490
02010,Alpera,2015,7540,19254,11161,10150,8303,21201
02011,Ayna,2022,13668,24636,18254,15750,15758,28403
02011,Ayna,2021,11990,21553,16516,13650,14287,25681
02011,Ayna,2020,12193,21803,16138,13650,13806,24688
02011,Ayna,2019,11858,21646,15987,13650,13357,24383
02011,Ayna,2018,11190,20969,15015,12950,12596,23604
02011,Ayna,2017,10725,20508,14605,12250,12054,23048
02011,Ayna,2016,10209,19968,13890,11550,11417,22330
02011,Ayna,2015,10179,20035,13928,11550,11354,22349
02012,Balazote,2022,11437,29225,17058,15050,13181,33681
02012,Balazote,2021,10495,26886,15821,14350,12079,30943
02012,Balazote,2020,10758,27051,16008,13650,12459,31328
02012,Balazote,2019,11271,28130,16976,13650,12733,31777
02012,Balazote,2018,9008,22528,13436,12250,10182,25466
02012,Balazote,2017,9462,23721,14121,12250,10878,27270
02012,Balazote,2016,8627,21775,12915,11550,9787,24702
02012,Balazote,2015,8033,19963,12059,10850,9014,22400
02013,Balsa de Ves,2022,14315,24777,18083,14350,16246,28119
02013,Balsa de Ves,2021,13701,24424,17798,14350,15609,27824
02013,Balsa de Ves,2020,12599,22859,16696,12950,14414,26152
02013,Balsa de Ves,2019,12219,22693,16390,13650,13686,25418
02013,Balsa de Ves,2018,12069,22149,15834,11550,13567,24900
02013,Balsa de Ves,2017,9342,17517,12482,10150,10289,19292
02013,Balsa de Ves,2016,9809,17894,13129,10850,10775,19656
02013,Balsa de Ves,2015,9373,17589,12843,10150,10279,19290
02014,"Ballestero, El",2022,11931,25620,16914,15750,13701,29420
02014,"Ballestero, El",2021,11587,25369,16413,15050,13383,29302
02014,"Ballestero, El",2020,11205,24018,15738,15050,12748,27326
02014,"Ballestero, El",2019,11256,23843,15961,15050,12819,27154
02014,"Ballestero, El",2018,10203,21981,14539,12950,11606,25002
02014,"Ballestero, El",2017,9423,20250,13524,11550,10640,22864
02014,"Ballestero, El",2016,8469,18079,12720,10850,9979,21303
02014,"Ballestero, El",2015,8743,18679,12308,10150,9671,20661
02015,Barrax,2022,10517,26857,15770,14350,12168,31073
02015,Barrax,2021,9992,25666,14920,13650,11508,29559
02015,Barrax,2020,9614,24673,14375,12950,10914,28008
02015,Barrax,2019,9220,23738,13798,12250,10469,26953
02015,Barrax,2018,8745,22952,13185,11550,9871,25907
02015,Barrax,2017,8224,21716,12422,10850,9235,24386
02015,Barrax,2016,7902,21262,11961,10150,8869,23863
02015,Barrax,2015,7439,20297,11298,10150,8259,22534
02016,Bienservida,2022,10976,21798,15029,13650,12322,24470
02016,Bienservida,2021,10497,20993,14425,12950,11755,23511
02016,Bienservida,2020,9209,19062,12693,10850,10247,21210
02016,Bienservida,2019,9533,19539,13178,11550,10631,21790
