mun_code,mun_name,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02001,Abengibre,2022,15122,8555,4133,211,617,1606
02001,Abengibre,2021,14017,7786,3926,245,621,1440
02001,Abengibre,2020,13391,7275,3757,405,612,1342
02001,Abengibre,2019,12710,7057,3565,198,447,1444
02001,Abengibre,2018,12424,6847,3356,204,457,1560
02001,Abengibre,2017,11096,6171,3298,210,426,991
02001,Abengibre,2016,11010,5701,3208,173,386,1542
02001,Abengibre,2015,10538,5359,3186,212,378,1402
02002,Alatoz,2022,12607,6187,3967,349,922,1182
02002,Alatoz,2021,11980,5587,3711,405,773,1504
02002,Alatoz,2020,10982,4873,3661,472,657,1320
02002,Alatoz,2019,10656,5041,3563,285,677,1090
02002,Alatoz,2018,10265,4835,3339,258,700,1133
02002,Alatoz,2017,9431,4345,3330,324,549,883
02002,Alatoz,2016,8781,3821,3364,255,514,827
02002,Alatoz,2015,8619,3495,3409,268,541,906
02003,Albacete,2022,16865,10814,3177,295,702,1876
02003,Albacete,2021,15979,10189,2947,409,657,1777
02003,Albacete,2020,15098,9479,2876,603,608,1532
02003,Albacete,2019,14786,9560,2724,276,582,1645
02003,Albacete,2018,14041,9039,2610,275,534,1583
02003,Albacete,2017,13421,8666,2515,274,457,1508
02003,Albacete,2016,12910,8351,2427,296,426,1410
02003,Albacete,2015,12501,8054,2360,338,417,1331
02004,Albatana,2022,12118,5671,3662,358,563,1864
02004,Albatana,2021,11203,5198,3320,375,570,1740
02004,Albatana,2020,10729,4886,3494,376,450,1523
02004,Albatana,2019,9931,4375,3476,252,420,1407
02004,Albatana,2018,9700,3984,3237,186,404,1890
02004,Albatana,2017,8786,3665,3114,173,438,1396
02004,Albatana,2016,8890,3331,3444,261,421,1433
02004,Albatana,2015,8322,2925,3262,276,394,1466
02005,Alborea,2022,11852,5909,3232,426,553,1731
02005,Alborea,2021,10994,5139,3136,655,610,1455
02005,Alborea,2020,10809,4797,3039,705,608,1659
02005,Alborea,2019,10729,4893,3106,382,651,1697
02005,Alborea,2018,9879,4693,2777,391,577,1440
02005,Alborea,2017,9375,4441,2933,412,445,1144
02005,Alborea,2016,8316,3531,2698,400,444,1243
02005,Alborea,2015,7941,3480,2615,475,470,900
02006,Alcadozo,2022,12052,5499,3695,404,715,1741
02006,Alcadozo,2021,11251,5191,3353,462,724,1520
02006,Alcadozo,2020,10277,4616,3291,547,632,1191
02006,Alcadozo,2019,10321,4686,3326,382,616,1310
02006,Alcadozo,2018,9893,4261,3354,292,552,1434
02006,Alcadozo,2017,8911,3719,3118,382,549,1143
02006,Alcadozo,2016,8949,3628,3403,385,536,997
02006,Alcadozo,2015,8144,3359,2928,422,582,852
02007,Alcalá del Júcar,2022,12630,5968,3634,412,648,1968
02007,Alcalá del Júcar,2021,11854,5500,3441,570,627,1717
02007,Alcalá del Júcar,2020,11249,5120,3366,643,598,1521
02007,Alcalá del Júcar,2019,10935,5148,3249,380,627,1532
02007,Alcalá del Júcar,2018,10311,4586,3294,346,589,1497
02007,Alcalá del Júcar,2017,9469,4274,3212,322,487,1173
02007,Alcalá del Júcar,2016,9280,4338,3084,348,424,1086
02007,Alcalá del Júcar,2015,8950,4126,2991,340,425,1068
02008,Alcaraz,2022,13726,7698,3352,463,718,1495
02008,Alcaraz,2021,12229,6479,3139,527,627,1458
02008,Alcaraz,2020,11412,5892,2994,695,591,1241
02008,Alcaraz,2019,11120,5984,2886,372,584,1294
02008,Alcaraz,2018,10660,5759,2761,346,532,1262
02008,Alcaraz,2017,9964,5317,2688,346,478,1135
02008,Alcaraz,2016,9351,4971,2645,373,428,933
02008,Alcaraz,2015,9189,4787,2609,375,433,984
02009,Almansa,2022,14139,8689,3045,369,602,1434
02009,Almansa,2021,13203,7895,2810,667,558,1273
02009,Almansa,2020,12502,7272,2668,939,489,1133
02009,Almansa,2019,12681,7900,2562,341,474,1404
02009,Almansa,2018,11962,7424,2466,314,442,1317
02009,Almansa,2017,11412,7120,2371,300,381,1241
02009,Almansa,2016,11032,6805,2302,322,340,1263
02009,Almansa,2015,10472,6426,2246,371,334,1095
02010,Alpera,2022,11418,6226,2772,363,613,1444
02010,Alpera,2021,10845,5677,2614,549,563,1442
02010,Alpera,2020,9922,4898,2443,732,513,1336
02010,Alpera,2019,9841,5234,2443,404,439,1321
02010,Alpera,2018,9675,4808,2468,376,428,1596
02010,Alpera,2017,8812,4533,2343,365,417,1155
02010,Alpera,2016,8471,4149,2431,351,389,1152
02010,Alpera,2015,8303,3861,2315,404,391,1331
02011,Ayna,2022,15758,7926,5175,370,739,1548
02011,Ayna,2021,14287,6823,4950,471,621,1422
02011,Ayna,2020,13806,6134,4976,587,638,1472
02011,Ayna,2019,13357,6092,4997,333,640,1294
02011,Ayna,2018,12596,5662,4716,302,639,1278
02011,Ayna,2017,12054,5415,4732,236,600,1071
02011,Ayna,2016,11417,4835,4638,292,539,1113
02011,Ayna,2015,11354,4668,4701,302,511,1172
02012,Balazote,2022,13181,7324,2022,400,585,2849
02012,Balazote,2021,12079,6909,1828,469,566,2307
02012,Balazote,2020,12459,6284,1853,629,524,3169
02012,Balazote,2019,12733,7713,1856,356,506,2301
02012,Balazote,2018,10182,5813,1787,381,470,1732
02012,Balazote,2017,10878,5516,1824,363,419,2756
02012,Balazote,2016,9787,4816,1789,370,408,2404
02012,Balazote,2015,9014,4437,1867,425,420,1865
02013,Balsa de Ves,2022,16246,6302,6565,230,886,2263
02013,Balsa de Ves,2021,15609,6091,5538,571,851,2558
02013,Balsa de Ves,2020,14414,6153,4821,554,881,2006
02013,Balsa de Ves,2019,13686,5119,5134,317,822,2294
02013,Balsa de Ves,2018,13567,6059,5480,231,565,1233
02013,Balsa de Ves,2017,10289,3794,4795,222,470,1008
02013,Balsa de Ves,2016,10775,3912,5085,150,400,1228
02013,Balsa de Ves,2015,10279,3509,5152,194,332,1093
02014,"Ballestero, El",2022,13701,7480,3704,307,641,1568
02014,"Ballestero, El",2021,13383,6893,3372,381,721,2015
02014,"Ballestero, El",2020,12748,6644,3318,367,704,1715
02014,"Ballestero, El",2019,12819,6601,3378,167,632,2041
02014,"Ballestero, El",2018,11606,6003,3228,172,606,1597
02014,"Ballestero, El",2017,10640,5298,3081,191,582,1487
02014,"Ballestero, El",2016,9979,4920,2879,226,559,1395
02014,"Ballestero, El",2015,9671,4700,2948,226,624,1174
02015,Barrax,2022,12168,7273,1958,494,652,1791
02015,Barrax,2021,11508,6780,1765,506,653,1805
02015,Barrax,2020,10914,6226,1848,720,635,1485
02015,Barrax,2019,10469,6222,1724,444,593,1485
02015,Barrax,2018,9871,5775,1663,383,549,1502
02015,Barrax,2017,9235,5405,1589,320,527,1394
02015,Barrax,2016,8869,4782,1747,392,496,1452
02015,Barrax,2015,8259,4361,1631,400,504,1363
02016,Bienservida,2022,12322,5783,3885,585,704,1365
02016,Bienservida,2021,11755,5348,3648,678,642,1439
02016,Bienservida,2020,10247,4418,3223,926,638,1043
02016,Bienservida,2019,10631,5221,3175,459,634,1142
02016,Bienservida,2018,9930,4824,3001,465,569,1070
02016,Bienservida,2017,9895,4458,2924,461,564,1488
02016,Bienservida,2016,9177,4174,2924,415,513,1151
02016,Bienservida,2015,8869,3999,2904,387,529,1050
02017,Bogarra,2022,11750,4693,4990,320,795,954
02017,Bogarra,2021,10985,4127,4740,384,768,966
02017,Bogarra,2020,10156,3796,4677,396,697,589
02017,Bogarra,2019,9939,3432,4652,279,710,866
02017,Bogarra,2018,8983,2885,4501,274,641,683
02017,Bogarra,2017,8823,2947,4331,252,609,684
02017,Bogarra,2016,8242,2632,4154,290,557,610
02017,Bogarra,2015,7913,2272,4079,353,545,664
02018,Bonete,2022,14175,7520,3665,488,526,1976
02018,Bonete,2021,13012,6867,3364,644,532,1605
02018,Bonete,2020,11560,5997,2983,924,499,1157
02018,Bonete,2019,11187,6313,2877,332,490,1176
02018,Bonete,2018,11037,6168,2832,352,439,1246
02018,Bonete,2017,10179,5654,2708,403,360,1054
02018,Bonete,2016,9521,5233,2674,384,298,933
02018,Bonete,2015,9440,5169,2588,359,257,1067
02019,"Bonillo, El",2022,13301,7650,2689,372,662,1928
02019,"Bonillo, El",2021,12416,7005,2560,421,590,1840
02019,"Bonillo, El",2020,11597,6318,2494,592,540,1653
02019,"Bonillo, El",2019,10906,6155,2417,369,542,1424
02019,"Bonillo, El",2018,10458,5783,2284,349,510,1533
02019,"Bonillo, El",2017,9574,5347,2228,349,443,1208
02019,"Bonillo, El",2016,9130,4905,2196,407,373,1248
02019,"Bonillo, El",2015,8770,4561,2207,438,351,1214
02020,Carcelén,2022,12342,5656,4778,374,593,942
02020,Carcelén,2021,11118,4815,4429,439,511,924
02020,Carcelén,2020,11013,4625,4402,532,546,907
02020,Carcelén,2019,10805,4514,4309,335,569,1077
02020,Carcelén,2018,10781,4452,4405,276,429,1219
02020,Carcelén,2017,9728,4108,3972,242,423,982
02020,Carcelén,2016,9363,4039,3679,286,458,901
02020,Carcelén,2015,9240,3809,3697,351,490,893
02021,Casas de Juan Núñez,2022,12439,7514,2470,402,623,1430
02021,Casas de Juan Núñez,2021,11794,6685,2346,623,619,1521
02021,Casas de Juan Núñez,2020,11447,6400,2369,704,547,1427
02021,Casas de Juan Núñez,2019,11135,6516,2373,370,551,1325
02021,Casas de Juan Núñez,2018,10413,6124,2263,292,540,1194
02021,Casas de Juan Núñez,2017,9825,5627,2192,315,473,1218
02021,Casas de Juan Núñez,2016,9360,5210,2190,336,377,1246
02021,Casas de Juan Núñez,2015,8926,4892,2221,333,448,1032
02022,Casas de Lázaro,2022,16040,7607,5350,457,817,1809
02022,Casas de Lázaro,2021,14465,6511,4702,518,944,1790
02022,Casas de Lázaro,2020,13098,5572,4407,656,979,1485
02022,Casas de Lázaro,2019,12994,5879,4185,435,998,1497
02022,Casas de Lázaro,2018,12670,5569,4138,402,867,1694
02022,Casas de Lázaro,2017,12231,5491,3796,276,866,1802
02022,Casas de Lázaro,2016,11484,4959,3777,260,826,1662
02022,Casas de Lázaro,2015,10873,4408,3554,508,850,1553
02023,Casas de Ves,2022,13705,5864,4907,311,596,2027
02023,Casas de Ves,2021,13132,5227,4776,395,564,2170
02023,Casas de Ves,2020,12299,4776,4691,559,476,1797
02023,Casas de Ves,2019,12113,4882,4385,371,474,2001
02023,Casas de Ves,2018,11903,4845,4164,307,446,2141
02023,Casas de Ves,2017,10156,4421,3965,242,433,1094
02023,Casas de Ves,2016,9714,4062,3762,251,435,1203
02023,Casas de Ves,2015,9477,3679,3853,258,426,1260
02024,Casas-Ibáñez,2022,12769,7346,2756,346,536,1786
