mun_code,mun_name,district_code,year,net_income_pc,net_income_hh,net_income_equiv,median_income_equiv,gross_income_pc,gross_income_hh
02001,Abengibre,0200101,2022,13063,32657,19598,17150,15122,37804
02001,Abengibre,0200101,2021,12188,29768,18067,16450,14017,34237
02001,Abengibre,0200101,2020,11675,28234,17387,15050,13391,32384
02001,Abengibre,0200101,2019,11132,27079,16401,15750,12710,30916
02001,Abengibre,0200101,2018,10854,26622,16055,15050,12424,30472
02001,Abengibre,0200101,2017,9704,23007,14176,12950,11096,26307
02001,Abengibre,0200101,2016,9690,23206,14009,12950,11010,26366
02001,Abengibre,0200101,2015,9290,22345,13417,12250,10538,25346
02002,Alatoz,0200201,2022,11346,24306,15925,15050,12607,27007
02002,Alatoz,0200201,2021,10771,22988,15146,13650,11980,25568
02002,Alatoz,0200201,2020,9866,21179,14101,11550,10982,23574
02002,Alatoz,0200201,2019,9596,21527,13744,11550,10656,23905
02002,Alatoz,0200201,2018,9255,20150,13389,11550,10265,22350
02002,Alatoz,0200201,2017,8540,18889,12341,10150,9431,20861
02002,Alatoz,0200201,2016,8008,18223,11568,10150,8781,19982
02002,Alatoz,0200201,2015,7880,17940,11452,10150,8619,19623
02003,Albacete,0200301,2022,15595,38456,23008,20650,19284,47553
02003,Albacete,0200301,2021,14843,36938,22109,19250,18363,45697
02003,Albacete,0200301,2020,14260,35885,21220,18550,17513,44072
02003,Albacete,0200301,2019,13991,35517,20857,18550,17124,43471
02003,Albacete,0200301,2018,13391,34245,20033,17850,16365,41851
02003,Albacete,0200301,2017,12886,33151,19296,17150,15664,40296
02003,Albacete,0200301,2016,12465,32232,18693,16450,15299,39559
02003,Albacete,0200301,2015,12153,31472,18273,15750,14724,38130
02003,Albacete,0200302,2022,13076,34209,19735,17850,15716,41117
02003,Albacete,0200302,2021,12398,32697,18823,17150,14843,39143
02003,Albacete,0200302,2020,11708,31096,17749,16450,13892,36896
02003,Albacete,0200302,2019,11451,30696,17493,15750,13592,36436
02003,Albacete,0200302,2018,10877,29280,16608,15050,12857,34609
02003,Albacete,0200302,2017,10318,28162,15808,14350,12141,33138
02003,Albacete,0200302,2016,9859,27097,15123,13650,11566,31790
02003,Albacete,0200302,2015,9594,26365,14735,13650,11225,30847
02003,Albacete,0200303,2022,12572,32129,18678,16450,14950,38206
02003,Albacete,0200303,2021,11809,30348,17591,15750,13998,35974
02003,Albacete,0200303,2020,11164,29003,16718,14350,13119,34083
02003,Albacete,0200303,2019,11012,28897,16561,14350,12920,33903
02003,Albacete,0200303,2018,10438,27521,15778,13650,12222,32222
02003,Albacete,0200303,2017,10009,26743,15163,12950,11702,31268
02003,Albacete,0200303,2016,9652,25924,14645,12950,11247,30208
02003,Albacete,0200303,2015,9336,25248,14192,12250,10858,29364
02003,Albacete,0200304,2022,12382,32584,18630,16450,14762,38846
02003,Albacete,0200304,2021,11695,30783,17686,15750,13914,36625
