mun_code,mun_name,district_code,year,gross_income_pc,wage,pension,unemp_benefit,other_benefits,other_income
02001,Abengibre,0200101,2022,15122,8555,4133,211,617,1606
02001,Abengibre,0200101,2021,14017,7786,3926,245,621,1440
02001,Abengibre,0200101,2020,13391,7275,3757,405,612,1342
02001,Abengibre,0200101,2019,12710,7057,3565,198,447,1444
02001,Abengibre,0200101,2018,12424,6847,3356,204,457,1560
02001,Abengibre,0200101,2017,11096,6171,3298,210,426,991
02001,Abengibre,0200101,2016,11010,5701,3208,173,386,1542
02001,Abengibre,0200101,2015,10538,5359,3186,212,378,1402
02002,Alatoz,0200201,2022,12607,6187,3967,349,922,1182
02002,Alatoz,0200201,2021,11980,5587,3711,405,773,1504
02002,Alatoz,0200201,2020,10982,4873,3661,472,657,1320
02002,Alatoz,0200201,2019,10656,5041,3563,285,677,1090
02002,Alatoz,0200201,2018,10265,4835,3339,258,700,1133
02002,Alatoz,0200201,2017,9431,4345,3330,324,549,883
02002,Alatoz,0200201,2016,8781,3821,3364,255,514,827
02002,Alatoz,0200201,2015,8619,3495,3409,268,541,906
02003,Albacete,0200301,2022,19284,11878,3996,272,716,2421
02003,Albacete,0200301,2021,18363,11275,3663,379,683,2363
02003,Albacete,0200301,2020,17513,10660,3593,574,632,2054
02003,Albacete,0200301,2019,17124,10726,3362,240,606,2191
02003,Albacete,0200301,2018,16365,10099,3288,241,561,2176
02003,Albacete,0200301,2017,15664,9705,3178,247,480,2055
02003,Albacete,0200301,2016,15299,9429,3045,278,445,2102
02003,Albacete,0200301,2015,14724,9154,2931,311,440,1888
02003,Albacete,0200302,2022,15716,10905,2482,306,641,1381
02003,Albacete,0200302,2021,14843,10261,2276,424,603,1279
02003,Albacete,0200302,2020,13892,9467,2161,644,556,1064
02003,Albacete,0200302,2019,13592,9514,2074,286,539,1178
02003,Albacete,0200302,2018,12857,9012,1955,281,490,1120
02003,Albacete,0200302,2017,12141,8533,1880,289,409,1030
02003,Albacete,0200302,2016,11566,8171,1794,313,369,920
02003,Albacete,0200302,2015,11225,7816,1775,365,352,917
02003,Albacete,0200303,2022,14950,9200,3066,314,681,1689
02003,Albacete,0200303,2021,13998,8589,2868,449,634,1458
02003,Albacete,0200303,2020,13119,7855,2778,656,582,1249
02003,Albacete,0200303,2019,12920,8064,2632,295,551,1379
02003,Albacete,0200303,2018,12222,7638,2545,299,498,1242
02003,Albacete,0200303,2017,11702,7337,2454,285,434,1192
02003,Albacete,0200303,2016,11247,7056,2372,296,403,1120
02003,Albacete,0200303,2015,10858,6715,2303,347,394,1100
02003,Albacete,0200304,2022,14762,9858,2765,313,648,1179
02003,Albacete,0200304,2021,13914,9175,2601,430,595,1113
02003,Albacete,0200304,2020,13148,8477,2517,630,552,971
02003,Albacete,0200304,2019,12837,8550,2423,300,542,1022
02003,Albacete,0200304,2018,12159,8081,2274,296,507,1002
02003,Albacete,0200304,2017,11746,7829,2229,283,437,968
02003,Albacete,0200304,2016,11363,7562,2182,320,421,878
02003,Albacete,0200304,2015,11041,7257,2143,354,417,871
02003,Albacete,0200305,2022,15236,9179,3580,305,697,1475
02003,Albacete,0200305,2021,14506,8639,3381,407,666,1412
02003,Albacete,0200305,2020,13816,8013,3319,605,612,1266
02003,Albacete,0200305,2019,13557,8210,3156,283,564,1344
02003,Albacete,0200305,2018,12920,7743,3041,282,512,1343
02003,Albacete,0200305,2017,12297,7405,2916,287,460,1229
02003,Albacete,0200305,2016,11916,7212,2811,303,438,1153
02003,Albacete,0200305,2015,11564,6920,2755,351,423,1115
